Alakazam,pokemon Alakazam
Arcanine,pokemon Arcanine
Barraskewda,pokemon Barraskewda
Cinderace,pokemon Cinderace
Conkeldurr,pokemon Conkeldurr
Dracozolt,pokemon Dracozolt
Empoleon,pokemon Empoleon
Gyarados,pokemon Gyarados
Hawlucha,pokemon Hawlucha
Haxorus,pokemon Haxorus
Hippowdon,pokemon Hippowdon
Krookodile,pokemon Krookodile
Kyurem,pokemon Kyurem
Mamoswine,pokemon Mamoswine
Milotic,pokemon Milotic
Mimikyu,pokemon Mimikyu
Nidoking,pokemon Nidoking
Nidoqueen,pokemon Nidoqueen
Nihilego,pokemon Nihilego
Rillaboom,pokemon Rillaboom
Scizor,pokemon Scizor
Scolipede,pokemon Scolipede
Staraptor,pokemon Staraptor
Suicune,pokemon Suicune
Sylveon,pokemon Sylveon
Tangrowth,pokemon Tangrowth
Thundurus-Therian,pokemon Thundurus-Therian
Togekiss,pokemon Togekiss
Volcanion,pokemon Volcanion
Appletun,pokemon Appletun
Azelf,pokemon Azelf
Blastoise,pokemon Blastoise
Blissey,pokemon Blissey
Cobalion,pokemon Cobalion
Crawdaunt,pokemon Crawdaunt
Cresselia,pokemon Cresselia
Crobat,pokemon Crobat
Darmanitan,pokemon Darmanitan
Diggersby,pokemon Diggersby
Dugtrio,pokemon Dugtrio
Duraludon,pokemon Duraludon
Entei,pokemon Entei
Floette-Eternal,pokemon Floette-Eternal
Florges,pokemon Florges
Goodra,pokemon Goodra
Greninja,pokemon Greninja
Grimmsnarl,pokemon Grimmsnarl
Hatterene,pokemon Hatterene
Heracross,pokemon Heracross
Klefki,pokemon Klefki
Lucario,pokemon Lucario
Magnezone,pokemon Magnezone
Mandibuzz,pokemon Mandibuzz
Metagross,pokemon Metagross
Mienshao,pokemon Mienshao
Obstagoon,pokemon Obstagoon
Pelipper,pokemon Pelipper
Porygon-Z,pokemon Porygon-Z
Raikou,pokemon Raikou
Reuniclus,pokemon Reuniclus
Rotom-Heat,pokemon Rotom-Heat
Serperior,pokemon Serperior
Silvally,pokemon Silvally
Slowbro,pokemon Slowbro
Snorlax,pokemon Snorlax
Toxtricity,pokemon Toxtricity
Vaporeon,pokemon Vaporeon
Xurkitree,pokemon Xurkitree
Salac Berry,item berry salac
Eviolite,item hold-item eviolite 
Expert belt,item hold-item expert-belt
Heavy duty boots,item hold-item heavy-duty-boots
Air Balloon,item hold-item air-balloon
Bright powder,item hold-item Bright-powder
Clear amulet,item av-candy courage-l
Eject pack,item hold-item Eject-pack
Grip Claw,item hold-item Grip-Claw
Any rock,item hold-item Damp-rock
Any rock,item hold-item Damp-rock
Any rock,item hold-item Damp-rock
Any rock,item hold-item Damp-rock
Light clay,item hold-item Light-clay
Loaded dice,item key-item zygarde-cube
Quick claw,item hold-item Quick-claw
Safety goggles,item hold-item Safety-goggles
Terrain extender,item hold-item Terrain-extender
Rusted Shield,item hold-item rusted-shield
Any Z stone,item z-crystals Normalium-z--bag
Any Z stone,item z-crystals Normalium-Z--bag
Any Z stone,item z-crystals Normalium-Z--bag
Any Z stone,item z-crystals Normalium-Z--bag
Any Z stone,item z-crystals Normalium-Z--bag
Any Z stone,item z-crystals Normalium-Z--bag
Any Z stone,item z-crystals Normalium-Z--bag
Any Z stone,item z-crystals Normalium-Z--bag
Any Z stone,item z-crystals Normalium-Z--bag
Any Z stone,item z-crystals Normalium-Z--bag
Any Z stone,item z-crystals Normalium-Z--bag
Any Z stone,item z-crystals Normalium-Z--bag
Any Z stone,item z-crystals Normalium-Z--bag
Any Z stone,item z-crystals Normalium-Z--bag
Any Z stone,item z-crystals Normalium-Z--bag
Any Z stone,item z-crystals Normalium-Z--bag
Any Z stone,item z-crystals Normalium-Z--bag
Any Z stone,item z-crystals Normalium-Z--bag
Eviolite,item hold-item eviolite 
Expert belt,item hold-item expert-belt
Heavy duty boots,item hold-item heavy-duty-boots
Air Balloon,item hold-item air-balloon
Bright powder,item hold-item Bright-powder
Clear amulet,item av-candy courage-l
Eject pack,item hold-item Eject-pack
Grip Claw,item hold-item Grip-Claw
Any rock,item hold-item Damp-rock
Any rock,item hold-item Damp-rock
Any rock,item hold-item Damp-rock
Any rock,item hold-item Damp-rock
Light clay,item hold-item Light-clay
Loaded dice,item key-item zygarde-cube
Quick claw,item hold-item Quick-claw
Safety goggles,item hold-item Safety-goggles
Terrain extender,item hold-item Terrain-extender
Rusted Shield,item hold-item rusted-shield
Any Z stone,item z-crystals Normalium-z--bag
Any Z stone,item z-crystals Normalium-Z--bag
Any Z stone,item z-crystals Normalium-Z--bag
Any Z stone,item z-crystals Normalium-Z--bag
Any Z stone,item z-crystals Normalium-Z--bag
Any Z stone,item z-crystals Normalium-Z--bag
Any Z stone,item z-crystals Normalium-Z--bag
Any Z stone,item z-crystals Normalium-Z--bag
Any Z stone,item z-crystals Normalium-Z--bag
Any Z stone,item z-crystals Normalium-Z--bag
Any Z stone,item z-crystals Normalium-Z--bag
Any Z stone,item z-crystals Normalium-Z--bag
Any Z stone,item z-crystals Normalium-Z--bag
Any Z stone,item z-crystals Normalium-Z--bag
Any Z stone,item z-crystals Normalium-Z--bag
Any Z stone,item z-crystals Normalium-Z--bag
Any Z stone,item z-crystals Normalium-Z--bag
Any Z stone,item z-crystals Normalium-Z--bag
